name,affiliation,email
"Lowndes, Julia Stewart","University of California, Santa Barbara  Santa Barbara California USA",
"Holder, Anna M.",California Environmental Protection Agency  Sacramento California USA,
"Markowitz, Emily H.",NOAA Fisheries Alaska Fisheries Science Center  Seattle Washington USA,
"Clatterbuck, Corey",California Environmental Protection Agency  Sacramento California USA,
"Bradford, Amanda L.",NOAA Fisheries Pacific Islands Fisheries Science Center  Honolulu Hawaii USA,
"Doering, Kathryn",ECS Federal LLC in support of NOAA Fisheries Office of Science and Technology  Seattle Washington USA,
"Stevens, Molly H.",NOAA Fisheries Southeast Fisheries Science Center  Miami Florida USA,
"Butland, Stefanie",Openscapes  Santa Barbara California USA,
"Burke, Devan",California Environmental Protection Agency  Sacramento California USA,
"Kross, Sean",Fred Hutch Cancer Center  Seattle Washington USA,
"Hollister, Jeffrey W.",United States Environmental Protection Agency  Washington DC USA,
"Stawitz, Christine",ECS Federal LLC in support of NOAA Fisheries Office of Science and Technology  Seattle Washington USA,
"Siple, Margaret C.",NOAA Fisheries Alaska Fisheries Science Center  Seattle Washington USA,
"Rios, Adyan",NOAA Fisheries Southeast Fisheries Science Center  Miami Florida USA,
"Welch, Jessica Nicole",NASA Oak Ridge National Laboratory DAAC  Oak Ridge Tennessee USA,
"Li, Bai",ECS Federal LLC in support of NOAA Fisheries Office of Science and Technology  Seattle Washington USA,
"Nojavan, Farnaz",United States Environmental Protection Agency  Washington DC USA,
"Davis, Alexandra","University of California, Los Angeles  Los Angeles California USA",
"Steiner, Erin",NOAA Fisheries Northwest Fisheries Science Center  Seattle Washington USA,
"London, Josh M.",NOAA Fisheries Alaska Fisheries Science Center  Seattle Washington USA,
"Fenwick, Ileana",The University of North Carolina at Chapel Hill  Chapel Hill North Carolin USA,
"Hunzinger, Alexis","Adnet Systems, Inc. / NASA Goddard Earth Sciences Data and Information Services Center  Greenbelt MD USA",
"Verstaen, Juliette",NOAA Fisheries Pacific Islands Fisheries Science Center  Honolulu Hawaii USA,
"Holmes, Elizabeth",NOAA Fisheries Northwest Fisheries Science Center  Seattle Washington USA,
"Virdi, Makhan",NASA Atmospheric Science Data Center  Washington DC USA,
"Robinson, Erin",Metadata Game Changers  Boulder Colorado USA,
